Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5, C6, C8",0603,6,0.1u,
"C10, C9",0805,2,10μF35V X5R 2012,
"C4, C7",0603,2,1u,
D1,CUHS20S30,1,CUHS20S30,
D2,0603,1,USB,
D3,0603,1,TWE_CLEAR,
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,SWD,
"J2, J3, J4",PinSocket_1x07_P2.54mm_Vertical,3,Conn_01x07,
J6,USB_C_Receptacle_5077CR-16-SMC2-BK-TR,1,USB_C_Receptacle_USB2.0,
J7,PinHeader_2x05_P1.27mm_Vertical_SMD,1,TWELITER,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,EX1,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,BPS,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SET,
"R1, R11, R13, R14, R15, R2, R5, R6, R7",0603,9,10k,
"R10, R12",0603,2,1k,
R16,0603,1,DNF,
"R3, R4",0603,2,33,
"R8, R9",0603,2,5.1k,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,nRF_RESET,
SW2,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,nRF_DFU,
SW3,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,TWE_CLEAR,
SW4,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,TWE_RESET,
SW5,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,TWE_PRG,
TP1,TestPoint_Pad_D1.0mm,1,FRST,
U1,SSOP-10_3.9x4.9mm_P1.00mm,1,CH340K,
U2,Texas_RMG0012A_1.8x1.8mm_P0.4mm,1,TMUX131,
U3,ISP4520-AS_with_Keep-Out,1,ISP4520-AS,
U4,SOT-666,1,USBLC6-2P6,
U5,MonoWireless_TWE-L-WX,1,MW-R-WX,
U7,SOT-23-5,1,74AHC1G08,
